[TID]               [Nom]               [Début]            [Fin]               [Durée Totale]
140223411365440     porte               17:49:32            17:49:33            800ms
140223444936256     chandelier          17:49:33            17:49:33            402ms
140223428150848     epee                17:49:33            17:49:33            403ms
140223300236864     coupe               17:49:33            17:49:34            1004ms
140223419758144     chandelier          17:49:33            17:49:34            604ms
140223436543552     coupe               17:49:33            17:49:34            1004ms
140223300236864     chandelier          17:49:34            17:49:34            200ms
140223428150848     table               17:49:34            17:49:34            200ms
140223444936256     coupe               17:49:33            17:49:34            601ms
140223436543552     chandelier          17:49:34            17:49:34            200ms
140223411365440     epee                17:49:33            17:49:34            1002ms
140223419758144     bague               17:49:34            17:49:34            400ms
140223453328960     epee                17:49:33            17:49:34            1199ms
140223436543552     table               17:49:34            17:49:34            200ms
140223300236864     coupe               17:49:34            17:49:35            800ms
140223428150848     chandelier          17:49:34            17:49:35            600ms
140223411365440     table               17:49:34            17:49:35            400ms
140223444936256     chandelier          17:49:34            17:49:35            801ms
140223436543552     table               17:49:35            17:49:35            200ms
140223419758144     epee                17:49:34            17:49:35            600ms
140223453328960     coupe               17:49:34            17:49:35            801ms
140223444936256     chandelier          17:49:35            17:49:35            400ms
140223300236864     coupe               17:49:35            17:49:35            801ms
140223453328960     chandelier          17:49:35            17:49:35            200ms
140223428150848     coupe               17:49:35            17:49:36            1001ms
140223444936256     chandelier          17:49:35            17:49:36            200ms
140223300236864     porte               17:49:35            17:49:36            400ms
140223411365440     epee                17:49:35            17:49:36            1001ms
140223428150848     bague               17:49:36            17:49:36            200ms
140223453328960     porte               17:49:36            17:49:36            400ms
140223419758144     epee                17:49:35            17:49:36            800ms
140223444936256     porte               17:49:36            17:49:36            400ms
140223436543552     epee                17:49:35            17:49:36            1201ms
140223419758144     table               17:49:36            17:49:36            200ms
140223300236864     coupe               17:49:36            17:49:36            600ms
140223453328960     chandelier          17:49:36            17:49:36            400ms
140223411365440     porte               17:49:36            17:49:37            800ms
140223419758144     bague               17:49:36            17:49:37            200ms
140223428150848     porte               17:49:36            17:49:37            801ms
140223444936256     coupe               17:49:36            17:49:37            801ms
140223453328960     table               17:49:37            17:49:37            400ms
140223436543552     coupe               17:49:36            17:49:37            802ms
140223411365440     bague               17:49:37            17:49:37            601ms
140223300236864     coupe               17:49:36            17:49:37            1002ms
